dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1838-02-01,,,Singapore,Singapore,0.80N,103.66E
1838-03-01,,,Singapore,Singapore,0.80N,103.66E
1838-04-01,,,Singapore,Singapore,0.80N,103.66E
1838-05-01,,,Singapore,Singapore,0.80N,103.66E
1838-06-01,,,Singapore,Singapore,0.80N,103.66E
1838-07-01,,,Singapore,Singapore,0.80N,103.66E
1838-08-01,,,Singapore,Singapore,0.80N,103.66E
1838-09-01,,,Singapore,Singapore,0.80N,103.66E
1838-10-01,,,Singapore,Singapore,0.80N,103.66E
1838-11-01,,,Singapore,Singapore,0.80N,103.66E
1838-12-01,,,Singapore,Singapore,0.80N,103.66E
1839-01-01,,,Singapore,Singapore,0.80N,103.66E
1839-02-01,,,Singapore,Singapore,0.80N,103.66E
1839-03-01,,,Singapore,Singapore,0.80N,103.66E
1839-04-01,26.109,1.804,Singapore,Singapore,0.80N,103.66E
1839-05-01,26.32,0.699,Singapore,Singapore,0.80N,103.66E
1839-06-01,26.576,0.96,Singapore,Singapore,0.80N,103.66E
1839-07-01,26.522,3.061,Singapore,Singapore,0.80N,103.66E
1839-08-01,25.828,2.677,Singapore,Singapore,0.80N,103.66E
1839-09-01,25.524,1.283,Singapore,Singapore,0.80N,103.66E
1839-10-01,25.704,1.475,Singapore,Singapore,0.80N,103.66E
1839-11-01,24.922,1.991,Singapore,Singapore,0.80N,103.66E
1839-12-01,24.631,2.514,Singapore,Singapore,0.80N,103.66E
1840-01-01,25.361,2.388,Singapore,Singapore,0.80N,103.66E
1840-02-01,25.144,2.326,Singapore,Singapore,0.80N,103.66E
1840-03-01,25.501,1.049,Singapore,Singapore,0.80N,103.66E
1840-04-01,26.08,1.862,Singapore,Singapore,0.80N,103.66E
1840-05-01,26.922,1.261,Singapore,Singapore,0.80N,103.66E
1840-06-01,27.143,1.252,Singapore,Singapore,0.80N,103.66E
1840-07-01,27.279,1.2,Singapore,Singapore,0.80N,103.66E
1840-08-01,25.985,1.31,Singapore,Singapore,0.80N,103.66E
1840-09-01,25.598,1.204,Singapore,Singapore,0.80N,103.66E
1840-10-01,24.976,1.329,Singapore,Singapore,0.80N,103.66E
1840-11-01,25.978,3.217,Singapore,Singapore,0.80N,103.66E
1840-12-01,24.728,1.571,Singapore,Singapore,0.80N,103.66E
1841-01-01,24.409,2.329,Singapore,Singapore,0.80N,103.66E
1841-02-01,25.603,1.251,Singapore,Singapore,0.80N,103.66E
1841-03-01,25.24,2.447,Singapore,Singapore,0.80N,103.66E
1841-04-01,25.747,1.921,Singapore,Singapore,0.80N,103.66E
1841-05-01,26.714,1.101,Singapore,Singapore,0.80N,103.66E
1841-06-01,27.015,1.234,Singapore,Singapore,0.80N,103.66E
1841-07-01,27.381,1.344,Singapore,Singapore,0.80N,103.66E
1841-08-01,26.734,1.444,Singapore,Singapore,0.80N,103.66E
1841-09-01,25.559,1.221,Singapore,Singapore,0.80N,103.66E
1841-10-01,26.156,1.484,Singapore,Singapore,0.80N,103.66E
1841-11-01,25.586,1.405,Singapore,Singapore,0.80N,103.66E
1841-12-01,25.604,1.673,Singapore,Singapore,0.80N,103.66E
1842-01-01,25.778,1.554,Singapore,Singapore,0.80N,103.66E
1842-02-01,26.537,1.587,Singapore,Singapore,0.80N,103.66E
1842-03-01,27.169,1.721,Singapore,Singapore,0.80N,103.66E
1842-04-01,26.716,1.568,Singapore,Singapore,0.80N,103.66E
1842-05-01,26.303,1.263,Singapore,Singapore,0.80N,103.66E
1842-06-01,26.497,1.185,Singapore,Singapore,0.80N,103.66E
1842-07-01,26.207,1.159,Singapore,Singapore,0.80N,103.66E
1842-08-01,26.152,1.264,Singapore,Singapore,0.80N,103.66E
1842-09-01,25.435,1.234,Singapore,Singapore,0.80N,103.66E
1842-10-01,25.352,1.234,Singapore,Singapore,0.80N,103.66E
1842-11-01,25.366,1.537,Singapore,Singapore,0.80N,103.66E
1842-12-01,26.191,1.478,Singapore,Singapore,0.80N,103.66E
1843-01-01,26.459,1.567,Singapore,Singapore,0.80N,103.66E
1843-02-01,26.799,1.556,Singapore,Singapore,0.80N,103.66E
1843-03-01,26.175,1.465,Singapore,Singapore,0.80N,103.66E
1843-04-01,26.39,1.305,Singapore,Singapore,0.80N,103.66E
1843-05-01,26.155,1.133,Singapore,Singapore,0.80N,103.66E
1843-06-01,26.672,1.466,Singapore,Singapore,0.80N,103.66E
1843-07-01,26.561,1.166,Singapore,Singapore,0.80N,103.66E
1843-08-01,26.225,1.532,Singapore,Singapore,0.80N,103.66E
1843-09-01,25.665,0.964,Singapore,Singapore,0.80N,103.66E
1843-10-01,25.617,1.462,Singapore,Singapore,0.80N,103.66E
1843-11-01,25.712,1.21,Singapore,Singapore,0.80N,103.66E
1843-12-01,26.245,1.91,Singapore,Singapore,0.80N,103.66E
1844-01-01,25.567,1.441,Singapore,Singapore,0.80N,103.66E
1844-02-01,25.561,1.434,Singapore,Singapore,0.80N,103.66E
1844-03-01,26.475,1.798,Singapore,Singapore,0.80N,103.66E
1844-04-01,26.167,1.17,Singapore,Singapore,0.80N,103.66E
1844-05-01,26.341,1.089,Singapore,Singapore,0.80N,103.66E
1844-06-01,26.571,1.128,Singapore,Singapore,0.80N,103.66E
1844-07-01,26.449,1.124,Singapore,Singapore,0.80N,103.66E
1844-08-01,25.801,1.757,Singapore,Singapore,0.80N,103.66E
1844-09-01,25.133,1.044,Singapore,Singapore,0.80N,103.66E
1844-10-01,25.575,1.195,Singapore,Singapore,0.80N,103.66E
1844-11-01,24.603,1.249,Singapore,Singapore,0.80N,103.66E
1844-12-01,24.504,1.287,Singapore,Singapore,0.80N,103.66E
1845-01-01,25.765,1.939,Singapore,Singapore,0.80N,103.66E
1845-02-01,25.366,2.268,Singapore,Singapore,0.80N,103.66E
1845-03-01,25.945,1.294,Singapore,Singapore,0.80N,103.66E
1845-04-01,,,Singapore,Singapore,0.80N,103.66E
1845-05-01,26.183,1.287,Singapore,Singapore,0.80N,103.66E
1845-06-01,26.444,1.301,Singapore,Singapore,0.80N,103.66E
1845-07-01,26.498,1.232,Singapore,Singapore,0.80N,103.66E
1845-08-01,26.033,1.183,Singapore,Singapore,0.80N,103.66E
1845-09-01,25.392,1.197,Singapore,Singapore,0.80N,103.66E
1845-10-01,24.778,1.181,Singapore,Singapore,0.80N,103.66E
1845-11-01,25.062,1.388,Singapore,Singapore,0.80N,103.66E
1845-12-01,24.388,1.792,Singapore,Singapore,0.80N,103.66E
1846-01-01,26.85,1.749,Singapore,Singapore,0.80N,103.66E
1846-02-01,26.385,1.583,Singapore,Singapore,0.80N,103.66E
1846-03-01,27.484,1.609,Singapore,Singapore,0.80N,103.66E
1846-04-01,25.9,1.364,Singapore,Singapore,0.80N,103.66E
1846-05-01,26.789,1.554,Singapore,Singapore,0.80N,103.66E
1846-06-01,27.436,1.387,Singapore,Singapore,0.80N,103.66E
1846-07-01,27.375,1.526,Singapore,Singapore,0.80N,103.66E
1846-08-01,26.639,1.271,Singapore,Singapore,0.80N,103.66E
1846-09-01,25.818,1.295,Singapore,Singapore,0.80N,103.66E
1846-10-01,25.38,1.136,Singapore,Singapore,0.80N,103.66E
1846-11-01,25.351,1.574,Singapore,Singapore,0.80N,103.66E
1846-12-01,26.049,1.363,Singapore,Singapore,0.80N,103.66E
1847-01-01,25.823,3.517,Singapore,Singapore,0.80N,103.66E
1847-02-01,26.482,1.372,Singapore,Singapore,0.80N,103.66E
1847-03-01,25.102,2.006,Singapore,Singapore,0.80N,103.66E
1847-04-01,26.003,1.323,Singapore,Singapore,0.80N,103.66E
1847-05-01,26.081,1.21,Singapore,Singapore,0.80N,103.66E
1847-06-01,26.535,1.372,Singapore,Singapore,0.80N,103.66E
1847-07-01,26.884,1.252,Singapore,Singapore,0.80N,103.66E
1847-08-01,26.011,1.203,Singapore,Singapore,0.80N,103.66E
1847-09-01,25.708,1,Singapore,Singapore,0.80N,103.66E
1847-10-01,25.438,1.186,Singapore,Singapore,0.80N,103.66E
1847-11-01,26.004,1.254,Singapore,Singapore,0.80N,103.66E
1847-12-01,24.507,1.687,Singapore,Singapore,0.80N,103.66E
1848-01-01,,,Singapore,Singapore,0.80N,103.66E
1848-02-01,,,Singapore,Singapore,0.80N,103.66E
1848-03-01,,,Singapore,Singapore,0.80N,103.66E
1848-04-01,,,Singapore,Singapore,0.80N,103.66E
1848-05-01,,,Singapore,Singapore,0.80N,103.66E
1848-06-01,,,Singapore,Singapore,0.80N,103.66E
1848-07-01,,,Singapore,Singapore,0.80N,103.66E
1848-08-01,,,Singapore,Singapore,0.80N,103.66E
1848-09-01,,,Singapore,Singapore,0.80N,103.66E
1848-10-01,,,Singapore,Singapore,0.80N,103.66E
